#;Date E;Heure E;Date S;Heure S;Durée de trade ;Bot;Score;Symbol;Direction;Entry_Prix;Exit_Prix;PnL_Net;Exit_Raison;Notes;Notes 2;Total PnL;PNL Long;PNL Short;Total Long;Total Short;PnL TPDe;PnL SLDe;PnL BE
60;;;;;0h 0m;;;;;;;;;;;;;;;;;;
61;;;;;0h 0m;;;;;;;;;;;;;;;;;;
62;;;;;0h 0m;;;;;;;;;;;;;;;;;;
63;;;;;0h 0m;;;;;;;;;;;;;;;;;;
64;;;;;0h 0m;;;;;;;;;;;;;;;;;;
65;;;;;0h 0m;;;;;;;;;;;;;;;;;;
66;;;;;0h 0m;;;;;;;;;;;;;;;;;;
67;;;;;0h 0m;;;;;;;;;;;;;;;;;;
68;;;;;0h 0m;;;;;;;;;;;;;;;;;;
69;;;;;0h 0m;;;;;;;;;;;;;;;;;;
70;;;;;0h 0m;;;;;;;;;;;;;;;;;;
71;;;;;0h 0m;;;;;;;;;;;;;;;;;;
72;;;;;0h 0m;;;;;;;;;;;;;;;;;;
73;;;;;0h 0m;;;;;;;;;;;;;;;;;;
74;;;;;0h 0m;;;;;;;;;;;;;;;;;;
75;;;;;0h 0m;;;;;;;;;;;;;;;;;;
76;;;;;0h 0m;;;;;;;;;;;;;;;;;;
77;;;;;0h 0m;;;;;;;;;;;;;;;;;;
78;;;;;0h 0m;;;;;;;;;;;;;;;;;;
79;;;;;0h 0m;;;;;;;;;;;;;;;;;;
80;;;;;0h 0m;;;;;;;;;;;;;;;;;;
81;;;;;0h 0m;;;;;;;;;;;;;;;;;;
82;;;;;0h 0m;;;;;;;;;;;;;;;;;;
83;;;;;0h 0m;;;;;;;;;;;;;;;;;;
84;;;;;0h 0m;;;;;;;;;;;;;;;;;;
85;;;;;0h 0m;;;;;;;;;;;;;;;;;;
86;;;;;0h 0m;;;;;;;;;;;;;;;;;;
87;;;;;0h 0m;;;;;;;;;;;;;;;;;;
88;;;;;0h 0m;;;;;;;;;;;;;;;;;;
89;;;;;0h 0m;;;;;;;;;;;;;;;;;;
90;;;;;0h 0m;;;;;;;;;;;;;;;;;;
91;;;;;0h 0m;;;;;;;;;;;;;;;;;;
92;;;;;0h 0m;;;;;;;;;;;;;;;;;;
93;;;;;0h 0m;;;;;;;;;;;;;;;;;;
94;;;;;0h 0m;;;;;;;;;;;;;;;;;;
